id,	champion,	name,	description,	effect,	cost,	range
1,	103,	'Orb of Deception',	'Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back.',	'Deals 40/65/90/115/140 (+0.33) magic damage on the way out, and 40/65/90/115/140 (+0.33) true damage on the way back.',	'70/75/80/85/90 Mana',	880
2,	103,	'Fox-Fire',	'Ahri releases three fox-fires, that lock onto and attack nearby enemies.',	'Releases three fox-fires that lock on to nearby enemies (prioritizes Champions) dealing 40/65/90/115/140 (+0.4) magic damage. Enemies hit with multiple fox-fires take 50% damage from each additonal fox-fire.',	'60 Mana',	800
3,	103,	'Charm',	'Ahri blows a kiss that damages and charms an enemy it encounters, causing them to walk harmlessly towards her.',	'Blows a kiss dealing 60/90/120/150/180 (+0.35) magic damage and charms an enemy causing them to walk harmlessly towards Ahri for 1/1.25/1.5/1.75/2 second(s).',	'50/65/80/95/110 Mana',	975
4,	103,	'Spirit Rush',	'Ahri dashes forward and fires essence bolts, damaging 3 nearby champions. Spirit Rush can be cast up to three times before going on cooldown.',	'Nimbly dashes forward firing 3 essence bolts at nearby enemies (prioritizes Champions) dealing 85/125/165 (+0.35) magic damage. Can be cast up to three times within 10 seconds before going on cooldown.',	'100 Mana',	450
5,	103,	'Essence Theft',	'Gains a charge of Essence Theft whenever a spell hits an enemy (max: 3 charges per spell). Upon reaching 9 charges, the next spell has 35% Spell Vamp.',	'',	'',	0
1,	84,	'Mark of the Assassin',	'Akali spins her kama at a target enemy to deal magic damage and mark the target for 6 seconds. Akali's melee attacks against a marked target will trigger and consume the mark to cause additional damage and restore Energy.',	'Akali throws her kama at a target enemy to deal 35/55/75/95/115 (+0.4) magic damage and mark the target for 6 seconds.Akali's melee attacks against a marked target will consume the mark to cause 45/70/95/120/145 (+0.5) magic damage and restore 20/25/30/35/40 Energy.',	'60 Energy',	600
2,	84,	'Twilight Shroud',	'Akali throws down a cover of smoke. While inside the area, Akali gains Armor and Magic Resist and becomes invisible. Attacking or using abilities will briefly reveal her. Enemies inside the smoke have their Movement Speed reduced.',	'Akali throws down a cover of smoke that lasts for 8 seconds. While inside the area, Akali gains 10/20/30/40/50 Armor and Magic Resist and becomes invisible. Attacking or using abilities will briefly reveal her.Enemies inside the smoke are slowed by 14/18/22/26/30%.',	'80/75/70/65/60 Energy',	700
3,	84,	'Crescent Slash',	'Akali flourishes her kamas, dealing damage based on her Attack Damage and Ability Power.',	'Akali flourishes her kamas, slicing nearby enemy units for 30/55/80/105/130 (+0.6) (+0.3) physical damage.Triggers Mark of the Assassin on targets affected by it.',	'60/55/50/45/40 Energy',	325
4,	84,	'Shadow Dance',	'Akali moves through shadows to quickly strike her target, dealing damage and consuming an Essence of Shadow charge. Akali recharges Essence of Shadow charges both periodically and upon kills and assists, max 3 stacks.',	'Akali moves through shadows to quickly strike her target, dealing 100/175/250 (+0.5) magic damage.Akali stores an Essence of Shadow on kills and assists as well as every 25.0/20.0/15.0 seconds up to 3 total.',	'1 Essence of Shadow',	800
5,	84,	'Twin Disciplines',	'Upon obtaining 20 Ability Power, Akali's basic attacks deal 8% bonus magic damage, increasing by 1% for every 6 Ability Power gained thereafter.Upon obtaining 10 Bonus Attack Damage, Akali gains 8% Spell Vamp, increasing by an additional 1% for every 6 Bonus Attack Damage gained thereafter.',	'',	'',	0
