,bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp
0,1,0,Irelia,RekSai,Ahri,Jinx,Janna,Gnar,Elise,Fizz,Sivir,Thresh
1,0,1,Gnar,Rengar,Ahri,Caitlyn,Leona,Irelia,JarvanIV,Azir,Corki,Annie
2,1,0,Renekton,Rengar,Fizz,Sivir,Annie,Sion,LeeSin,Azir,Corki,Janna
3,0,1,Irelia,JarvanIV,Leblanc,Sivir,Thresh,Gnar,Nunu,Lulu,KogMaw,Janna
4,1,0,Gnar,JarvanIV,Lissandra,Tristana,Janna,Sion,RekSai,Lulu,Corki,Annie
5,0,1,Kassadin,Rengar,Leblanc,Sivir,Annie,Gnar,JarvanIV,Lulu,Corki,Thresh
6,1,0,Irelia,JarvanIV,Xerath,Corki,Janna,Renekton,LeeSin,Leblanc,Tristana,Nami
7,1,0,Renekton,JarvanIV,Azir,Caitlyn,Annie,Rumble,Rengar,Leblanc,Sivir,Blitzcrank
8,0,1,Sion,RekSai,Orianna,KogMaw,Janna,Kassadin,Vi,Zed,Corki,Morgana
9,1,0,Irelia,Nocturne,Orianna,Sivir,Nami,Gnar,Rengar,Leblanc,Graves,Morgana
10,1,0,Gnar,JarvanIV,Azir,Corki,Morgana,Lulu,LeeSin,Xerath,Ezreal,Janna
11,1,0,Jax,JarvanIV,Kassadin,Graves,Morgana,Gnar,RekSai,Ahri,Corki,Thresh
12,1,0,Irelia,Vi,Lissandra,Kalista,Annie,Gnar,JarvanIV,Ahri,Sivir,Leona
13,0,1,Lulu,LeeSin,Xerath,Corki,Janna,Sion,JarvanIV,Cassiopeia,Kalista,Blitzcrank
14,1,0,Maokai,JarvanIV,Leblanc,Kalista,Annie,Lulu,Rengar,Morgana,Tristana,Janna
15,1,0,Rumble,Vi,Zed,Caitlyn,Morgana,Gnar,RekSai,Leblanc,Corki,Janna
16,0,1,Gnar,JarvanIV,Azir,KogMaw,Nami,Maokai,LeeSin,Zed,Sivir,Janna
17,1,0,Lissandra,JarvanIV,Xerath,Tristana,Morgana,Gnar,Nunu,Ahri,Caitlyn,Janna
18,1,0,Gnar,LeeSin,Leblanc,KogMaw,Nami,Malphite,JarvanIV,Orianna,Graves,Janna
19,0,1,Sion,Rengar,Ahri,Sivir,Janna,Lissandra,JarvanIV,Corki,Kalista,Thresh
20,0,1,Lulu,RekSai,Corki,Kalista,Morgana,Rumble,LeeSin,Ahri,Graves,Annie
21,1,0,Maokai,Vi,Kassadin,Graves,Annie,Irelia,JarvanIV,Corki,Sivir,Leona
22,0,1,RekSai,Vi,Azir,Corki,Thresh,Maokai,LeeSin,Xerath,Sivir,Morgana
23,1,0,Lissandra,RekSai,Xerath,Vayne,Nami,Sion,JarvanIV,Cassiopeia,Sivir,Morgana
24,0,1,Gnar,JarvanIV,Kassadin,Sivir,Janna,Irelia,Vi,Nidalee,Jinx,Morgana
25,1,0,Rumble,Vi,Leblanc,Graves,Morgana,Maokai,JarvanIV,Xerath,Lucian,Janna
26,1,0,Lissandra,LeeSin,Ezreal,Sivir,Alistar,Irelia,Vi,Azir,Corki,Janna
27,0,1,Maokai,Vi,Ezreal,Vayne,Annie,Rumble,JarvanIV,Ahri,Sivir,Morgana
28,1,0,Jax,RekSai,Lissandra,Graves,Morgana,Gnar,LeeSin,Lulu,Kalista,Annie
29,1,0,Sion,Vi,Ahri,Jinx,Janna,Maokai,LeeSin,Yasuo,Graves,Morgana
30,0,1,Irelia,RekSai,Leblanc,Kalista,Thresh,Sion,JarvanIV,Nidalee,Jinx,Morgana
31,1,0,Lissandra,Vi,Kassadin,Graves,Morgana,Maokai,RekSai,Ezreal,Sivir,Leona
32,0,1,Gnar,JarvanIV,Leblanc,Sivir,Thresh,Maokai,Nidalee,Zed,Kalista,Janna
33,0,1,Maokai,RekSai,Kassadin,Draven,Thresh,Rumble,JarvanIV,Ahri,Graves,Leona
34,0,1,Maokai,JarvanIV,Xerath,Graves,Braum,Lissandra,Vi,Zed,Sivir,Janna
35,1,0,Lissandra,RekSai,Ahri,Graves,Leona,Maokai,Vi,Kassadin,Lucian,Janna
36,1,0,Rumble,Vi,Lissandra,Jinx,Morgana,Gnar,JarvanIV,Xerath,Graves,Thresh
37,0,1,Gnar,Vi,Lissandra,Corki,Janna,Sion,JarvanIV,Ahri,Sivir,Annie
38,1,0,Maokai,Vi,Zed,Graves,Thresh,Swain,JarvanIV,Azir,Tristana,Janna
39,1,0,Renekton,LeeSin,Kassadin,Corki,Annie,Maokai,Vi,Orianna,Sivir,Morgana
40,0,1,Fizz,RekSai,Xerath,Jinx,Janna,Maokai,Vi,Leblanc,Graves,Annie
41,0,1,Gnar,RekSai,Ahri,Graves,Annie,Maokai,Nunu,Kassadin,Sivir,Morgana
42,1,0,Maokai,Nidalee,Zed,Corki,Veigar,DrMundo,LeeSin,Leblanc,Graves,Thresh
43,0,1,Rumble,RekSai,Kassadin,Lucian,Morgana,Maokai,Vi,Ahri,Tristana,Braum
44,1,0,Maokai,Vi,Ahri,Jinx,Janna,Kassadin,RekSai,Zed,Sivir,Blitzcrank
45,1,0,Rumble,RekSai,Zed,Corki,Braum,Maokai,JarvanIV,Ahri,Sivir,Thresh
46,1,0,Irelia,RekSai,Lissandra,Corki,Annie,Rumble,JarvanIV,Cassiopeia,Jinx,Janna
47,0,1,Sion,RekSai,Ahri,Graves,Janna,Renekton,JarvanIV,Kassadin,Sivir,Thresh
48,0,1,Maokai,RekSai,Ahri,Graves,Janna,Irelia,JarvanIV,Leblanc,Sivir,Thresh
49,1,0,Morgana,RekSai,Lulu,Sivir,Janna,DrMundo,Nunu,Zed,Corki,Braum
50,0,1,Gnar,JarvanIV,Syndra,Graves,Morgana,Maokai,RekSai,Zed,Corki,Braum
51,1,0,Fizz,RekSai,Leblanc,Graves,Nami,Maokai,JarvanIV,Ezreal,Corki,Janna
52,1,0,Kennen,RekSai,Lissandra,Corki,Braum,Hecarim,Nidalee,Viktor,Graves,Morgana
53,1,0,Maokai,RekSai,Lissandra,Sivir,Janna,Renekton,Vi,Ezreal,Graves,Morgana
54,1,0,Maokai,JarvanIV,Ezreal,Kalista,Thresh,Hecarim,RekSai,Kassadin,Corki,Janna
55,1,0,Maokai,RekSai,Kassadin,Graves,Veigar,Rumble,Rengar,Ezreal,Corki,Annie
56,1,0,Maokai,Nidalee,Zed,Corki,Morgana,Gnar,JarvanIV,Leblanc,Kalista,Thresh
57,1,0,Morgana,LeeSin,Kassadin,Graves,Leona,Irelia,RekSai,Leblanc,Corki,Annie
58,0,1,Rumble,Nidalee,Ezreal,Tristana,Braum,Morgana,RekSai,Zed,Jinx,Janna
59,1,0,Gragas,RekSai,Zed,Sivir,Morgana,Maokai,FiddleSticks,Ahri,Ezreal,Annie
60,1,0,Rumble,Vi,Ahri,Sivir,Annie,Kennen,LeeSin,Leblanc,Corki,Leona
61,0,1,Lissandra,Sejuani,Viktor,Graves,Janna,Hecarim,RekSai,Lulu,Jinx,Thresh
62,0,1,Kennen,JarvanIV,Viktor,Corki,Leona,Lulu,RekSai,Zed,Sivir,Thresh
63,1,0,Kennen,LeeSin,Karthus,Graves,Leona,Lulu,Vi,Zed,Corki,Braum
64,0,1,Kennen,JarvanIV,Zed,Kalista,Thresh,Rumble,Vi,Leblanc,Graves,Janna
65,1,0,Lissandra,Sejuani,Kennen,Graves,Morgana,JarvanIV,RekSai,Ahri,Corki,Annie
66,1,0,Rumble,Nidalee,Lissandra,Sivir,Annie,Gragas,RekSai,Orianna,Lucian,Janna
67,0,1,Kennen,JarvanIV,Lulu,Jinx,Braum,Maokai,Vi,Karthus,Graves,Leona
68,1,0,Rumble,RekSai,Leblanc,Graves,Thresh,Maokai,JarvanIV,Viktor,Corki,Leona
69,1,0,Kennen,Vi,Zed,Kalista,Thresh,Irelia,LeeSin,Ahri,Graves,Janna
70,0,1,Irelia,Gragas,Chogath,Lucian,Leona,Rumble,Nidalee,Yasuo,Graves,Janna
71,0,1,DrMundo,RekSai,Cassiopeia,Kalista,Janna,Maokai,Vi,Lissandra,Lucian,Nautilus
72,0,1,DrMundo,RekSai,Zed,Lucian,Lulu,Maokai,Nunu,Urgot,Corki,Thresh
73,1,0,Sion,Vi,Ahri,Kalista,Thresh,Hecarim,Zac,Leblanc,Tristana,Janna
74,0,1,Lulu,Sejuani,Karthus,Lucian,Janna,Gragas,Vi,Orianna,Graves,Morgana
75,0,1,Sion,Zac,Xerath,Tristana,Janna,Hecarim,Sejuani,Fizz,Sivir,Morgana
76,1,0,Lulu,Sejuani,Zed,Corki,Thresh,Kennen,RekSai,Ahri,Jinx,Janna
77,1,0,Vladimir,Sejuani,Lulu,Graves,Thresh,Maokai,Nunu,Corki,Lucian,Nautilus
78,1,0,Hecarim,Nidalee,Yasuo,Graves,Thresh,Lulu,Nunu,Zed,Twitch,Janna
79,0,1,Lissandra,Gragas,Yasuo,KogMaw,Alistar,Lulu,Nunu,Ahri,Vayne,Janna
80,0,1,Irelia,Nunu,Rumble,Caitlyn,Morgana,Kennen,Sejuani,Zed,Lucian,Nautilus
81,0,1,Maokai,RekSai,Orianna,Graves,Thresh,Rumble,Sejuani,Corki,Sivir,Lulu
82,1,0,Sion,Nidalee,Ezreal,Caitlyn,Nautilus,Renekton,RekSai,Vladimir,Graves,Annie
83,0,1,Sion,RekSai,Cassiopeia,Twitch,Nautilus,Lulu,Nidalee,Urgot,KogMaw,Janna
84,0,1,Rumble,RekSai,Leblanc,Graves,Janna,Sion,Zac,Katarina,Lucian,Annie
85,1,0,Sion,LeeSin,Chogath,Sivir,Lulu,Lissandra,Gragas,Urgot,Varus,Janna
86,1,0,Maokai,Vi,Lissandra,Lucian,Nautilus,Kennen,RekSai,Chogath,Graves,Leona
87,0,1,Kennen,Zac,Diana,Sivir,Thresh,Hecarim,Sejuani,Lissandra,Kalista,Annie
88,1,0,Rumble,Nunu,Vladimir,Graves,Thresh,Gragas,RekSai,Lissandra,Sivir,Morgana
89,0,1,Jax,RekSai,Lulu,Kalista,Alistar,Rumble,Vi,Corki,Graves,Leona
90,0,1,Hecarim,RekSai,Lissandra,Corki,Thresh,Lulu,Sejuani,Zed,Lucian,Janna
91,1,0,Maokai,Zac,JarvanIV,Draven,Morgana,Hecarim,Vi,Lissandra,Vayne,Alistar
92,1,0,Rumble,Gragas,KogMaw,Sivir,Nautilus,Maokai,RekSai,Viktor,Urgot,Thresh
93,0,1,Rumble,RekSai,Azir,Corki,Thresh,Gnar,Gragas,Cassiopeia,Kalista,Annie
94,1,0,Maokai,LeeSin,KogMaw,Ashe,Alistar,Hecarim,Sejuani,Azir,Kalista,Annie
95,0,1,Gnar,RekSai,Ziggs,Urgot,Thresh,Yasuo,Evelynn,Fizz,Sivir,Alistar
96,0,1,Hecarim,Nunu,Fizz,Sivir,Thresh,Rumble,Sejuani,Kassadin,Vayne,Nautilus
97,1,0,Rumble,Nunu,Cassiopeia,Sivir,Thresh,Irelia,Sejuani,Vladimir,Graves,Nautilus
98,1,0,Gnar,Zac,Vladimir,Kalista,Nautilus,Maokai,RekSai,KogMaw,Ashe,Thresh
99,0,1,Hecarim,Evelynn,Leblanc,Sivir,Alistar,Gnar,Sejuani,Azir,Kalista,Thresh
100,1,0,Rumble,Sejuani,Viktor,Sivir,Alistar,Hecarim,Evelynn,Kassadin,Kalista,Morgana
101,0,1,Vladimir,Gragas,Viktor,Lucian,Thresh,Hecarim,LeeSin,Malphite,Jinx,Alistar
